wimbledon_rank,player_name,tournament_win_probability,wimbledon_score,grass_elo,elo,grass_serve_rating,serve_rating,grass_return_rating,return_rating,grass_form,general_form,atp_rank,player_id
1,Carlos Alcaraz,0.689708482931558,1459.5356669821447,1692.2677401195454,1923.1331602129883,1527.4351227117077,1624.9303196986566,1482.820990970083,1429.6058920205446,1.0,0.8363636363636363,999.0,207989
2,Jannik Sinner,0.6660372080308485,1412.1082658799742,1549.5222841441887,1871.0679376532048,1523.6667302544474,1636.869515937233,1485.185924520083,1434.0088502453968,0.7142857142857143,0.90625,999.0,206173
3,Novak Djokovic,0.6515270887666309,1411.1744860302572,1593.1930090131234,1750.0282982804047,1528.3528715982027,1580.7127611306878,1483.8408741514136,1462.4312909593161,0.8571428571428571,0.7567567567567568,999.0,104925
4,Lorenzo Musetti,0.6399122549823155,1407.727149484346,1575.5496573364796,1785.1012302500149,1526.299856554114,1586.9934250729773,1483.5844928654594,1429.84247161151,0.8333333333333334,0.7142857142857143,999.0,207518
5,Alexander Zverev,0.5878099607593806,1417.1677240061285,1608.4923275821711,1732.6860007396563,1524.2761457051756,1660.3043911168063,1487.0328299727125,1414.735410513218,0.75,0.7407407407407407,999.0,100644
6,Tommy Paul,0.5859912914412563,1397.2208556853388,1560.5960209119712,1728.7387050004845,1520.7283086340012,1582.0460646965646,1486.6039457817542,1445.6529822635896,0.8,0.7045454545454546,999.0,126205
7,Holger Rune,0.5526053570577345,1391.4258714978646,1551.953879809907,1707.818482450683,1518.0272557536598,1599.800787430462,1485.9394368012975,1411.0718203122074,0.7142857142857143,0.7435897435897436,999.0,208029
8,Taylor Fritz,0.546988401651741,1403.3829578426016,1602.6633569332146,1642.2764577064122,1527.883063699516,1619.8636247288073,1484.011464388428,1408.3081972193156,0.8,0.6285714285714286,999.0,126203
9,Daniil Medvedev,0.5456839702642654,1407.5361799310206,1620.7504842153544,1650.1493185801448,1524.7854211138392,1583.9443404173278,1484.4054014235153,1433.7942819235163,0.7692307692307693,0.6136363636363636,999.0,106421
10,Grigor Dimitrov,0.5079735157776661,1381.6703970780036,1537.9486852745597,1648.9146477863608,1517.6064273207148,1578.3181308024564,1488.4856263275663,1444.2537086241834,0.75,0.6896551724137931,999.0,105777
11,Ben Shelton,0.507235400881233,1376.2947197989156,1531.694577093241,1609.7514826816046,1517.3295019762786,1635.0801573822189,1482.5006004430147,1386.8767937112532,0.625,0.6097560975609756,999.0,210097
12,Jack Draper,0.49300307260739207,1393.3467074350976,1543.7336213411315,1762.296813533499,1506.0915187753421,1586.1913171354884,1494.3790563863224,1438.7050869641998,0.6666666666666666,0.7954545454545454,999.0,207733
13,Denis Shapovalov,0.4844878450102012,1363.583337111477,1501.9981686028764,1582.3186624564437,1513.112407980409,1582.3099804381652,1488.612648168577,1445.6760990690227,0.5,0.6111111111111112,999.0,133430
14,Alex Michelsen,0.4795849533356622,1373.0689321179796,1540.3123141544224,1539.6380632076693,1522.205865851668,1599.9752693214048,1486.786552093876,1428.8094041512043,0.6,0.5405405405405406,999.0,210506
15,Alexei Popyrin,0.4786078118785203,1359.66691157264,1500.6578152765967,1553.9900907436386,1515.495087455959,1581.1445514921218,1486.1135593286367,1430.640465412386,0.5,0.47058823529411764,999.0,200615
16,Brandon Nakashima,0.47795728970841006,1375.6555889853432,1546.9816765048888,1549.6854550786231,1523.0232680798063,1609.365623716336,1485.8059421359642,1405.5811106777037,0.6363636363636364,0.4883720930232558,999.0,206909
17,Matteo Berrettini,0.4726180704143224,1373.8190840979807,1503.2600605810997,1677.0100821179337,1508.2199784075024,1609.9395323064853,1492.6817506067316,1421.7900344568002,0.5,0.6333333333333333,999.0,126610
18,Ugo Humbert,0.46774437354462833,1373.8528325672396,1531.6700113712166,1587.5846588307313,1517.128555259879,1589.692579458862,1489.0401922590581,1431.8853692082082,0.625,0.6129032258064516,999.0,200005
19,Tallon Griekspoor,0.45777354210662746,1367.6632605723075,1501.1500225556908,1649.3017099934243,1507.5186665327071,1587.344399642966,1491.0358833574792,1408.7438833815659,0.5,0.6190476190476191,999.0,134868
20,Jakub Mensik,0.44515961792220676,1352.3020932077595,1464.2783223086687,1624.1245018704017,1503.2698710371583,1557.8432223787395,1491.8557218107303,1434.3966298460805,0.25,0.6097560975609756,999.0,210150
21,Alexander Bublik,0.44474537892155347,1400.9005593939037,1621.3304775248796,1628.2515980459493,1512.7761159733464,1533.1316597507632,1489.1281507653127,1457.4131628347493,0.875,0.45,999.0,122330
22,Karen Khachanov,0.43677743016684323,1379.2143933472994,1545.0084944718114,1615.0052169388073,1509.3396840067494,1585.705153222981,1492.2143548104193,1435.7619748937823,0.625,0.5952380952380952,999.0,111575
23,Stefanos Tsitsipas,0.4340600690672493,1366.155131221392,1501.0058441386766,1628.7956798931798,1509.0808898750076,1581.2851809214628,1492.8877045239458,1416.9423630494314,0.5,0.6578947368421053,999.0,126774
24,Frances Tiafoe,0.4220501022275304,1359.7329189564557,1501.4824967749028,1551.3198118475811,1511.30844539788,1595.0392650118768,1490.4552579782496,1417.3175092979238,0.5,0.48717948717948717,999.0,126207
25,Francisco Cerundolo,0.4181764000708452,1353.4534902302648,1462.282432734402,1626.8369926264193,1502.7587166946118,1579.6969149033177,1495.3011824324324,1423.5180781680165,0.0,0.64,999.0,202103
26,Flavio Cobolli,0.40323312624763746,1370.8643339725768,1525.2129607672707,1617.2951193637741,1506.912238341074,1563.7098699162148,1493.18627499372,1424.0061899462637,0.6,0.5675675675675675,999.0,207925
